2023-08-19 18:07:41 | INFO | model_worker | args: Namespace(host='172.27.118.4', port=21002, worker_address='http://localhost:21002', controller_address='http://172.27.118.4:21001', model_path='./models/lmsysvicuna_13b_v1.5', revision='main', device='cuda', gpus=None, num_gpus=1, max_gpu_memory=None, load_8bit=True, cpu_offloading=False, gptq_ckpt=None, gptq_wbits=16, gptq_groupsize=-1, gptq_act_order=False, model_names=['vicuna-13b'], conv_template=None, limit_worker_concurrency=5, stream_interval=2, no_register=False)
2023-08-19 18:07:41 | INFO | model_worker | Loading the model ['vicuna-13b'] on worker 729e8197 ...
2023-08-19 18:07:42 | ERROR | stderr |   0%|                                                                                             | 0/3 [00:00<?, ?it/s]
2023-08-19 18:09:18 | ERROR | stderr |  33%|████████████████████████████▎                                                        | 1/3 [01:36<03:12, 96.07s/it]
2023-08-19 18:15:32 | ERROR | stderr |  67%|████████████████████████████████████████████████████████                            | 2/3 [07:50<04:19, 259.53s/it]
2023-08-19 18:20:38 | ERROR | stderr | 100%|████████████████████████████████████████████████████████████████████████████████████| 3/3 [12:55<00:00, 280.67s/it]
2023-08-19 18:20:38 | ERROR | stderr | 100%|████████████████████████████████████████████████████████████████████████████████████| 3/3 [12:55<00:00, 258.61s/it]
2023-08-19 18:20:38 | ERROR | stderr | 
2023-08-19 18:20:40 | INFO | model_worker | Register to controller
2023-08-19 18:20:44 | ERROR | stderr | [32mINFO[0m:     Started server process [[36m190[0m]
2023-08-19 18:20:44 | ERROR | stderr | [32mINFO[0m:     Waiting for application startup.
2023-08-19 18:20:44 | ERROR | stderr | [32mINFO[0m:     Application startup complete.
2023-08-19 18:20:44 | ERROR | stderr | [32mINFO[0m:     Uvicorn running on [1mhttp://172.27.118.4:21002[0m (Press CTRL+C to quit)
2023-08-19 18:21:26 | INFO | model_worker | Send heart beat. Models: ['vicuna-13b']. Semaphore: None. call_ct: 0. worker_id: 729e8197. 
2023-08-19 18:22:11 | INFO | model_worker | Send heart beat. Models: ['vicuna-13b']. Semaphore: None. call_ct: 0. worker_id: 729e8197. 
